
|       Host |       Time |     Offset |        Seq |    latency 
-191
| nfvha-comp-07.oot.lab.eng.bos| 1729663287968 |       9473 |        234 |       0.86
| nfvha-comp-07.oot.lab.eng.bos| 1729664177959 |       9474 |        235 |       0.73
| nfvha-comp-07.oot.lab.eng.bos| 1729665178297 |       9475 |        236 |       0.89
| nfvha-comp-07.oot.lab.eng.bos| 1729666038317 |       9476 |        237 |       0.82
| nfvha-comp-07.oot.lab.eng.bos| 1729666388471 |       9477 |        238 |       0.85
| nfvha-comp-07.oot.lab.eng.bos| 1729666428540 |       9478 |        239 |       0.78
| nfvha-comp-07.oot.lab.eng.bos| 1729666768618 |       9479 |        240 |       0.75
| nfvha-comp-07.oot.lab.eng.bos| 1729666858780 |       9480 |        241 |       0.75
| nfvha-comp-07.oot.lab.eng.bos| 1729667328760 |       9481 |        242 |       0.66
| nfvha-comp-07.oot.lab.eng.bos| 1729667598813 |       9482 |        243 |       0.60
| nfvha-comp-07.oot.lab.eng.bos| 1729667653303 |       9483 |        244 |       4.95
| nfvha-comp-07.oot.lab.eng.bos| 1729667809140 |       9484 |        245 |       0.66
| nfvha-comp-07.oot.lab.eng.bos| 1729667999301 |       9485 |        246 |       0.68
| nfvha-comp-07.oot.lab.eng.bos| 1729668219627 |       9486 |        247 |       0.88
| nfvha-comp-07.oot.lab.eng.bos| 1729668629579 |       9487 |        248 |       0.70
| nfvha-comp-07.oot.lab.eng.bos| 1729669229803 |       9488 |        249 |       0.83
| nfvha-comp-07.oot.lab.eng.bos| 1729669869832 |       9489 |        250 |       0.75
| nfvha-comp-07.oot.lab.eng.bos| 1729670869928 |       9490 |        251 |       0.75
| nfvha-comp-07.oot.lab.eng.bos| 1729671140167 |       9491 |        252 |       0.88
| nfvha-comp-07.oot.lab.eng.bos| 1729671920500 |       9492 |        253 |       1.08
| nfvha-comp-07.oot.lab.eng.bos| 1729672540428 |       9493 |        254 |       0.92
| nfvha-comp-07.oot.lab.eng.bos| 1729673140288 |       9494 |        255 |       0.64
| nfvha-comp-07.oot.lab.eng.bos| 1729673860863 |       9495 |        256 |       1.12
| nfvha-comp-07.oot.lab.eng.bos| 1729674350848 |       9496 |        257 |       0.98
| nfvha-comp-07.oot.lab.eng.bos| 1729674850845 |       9497 |        258 |       0.87
| nfvha-comp-07.oot.lab.eng.bos| 1729675520754 |       9498 |        259 |       0.67
| nfvha-comp-07.oot.lab.eng.bos| 1729676000848 |       9499 |        260 |       0.66
| nfvha-comp-07.oot.lab.eng.bos| 1729676351185 |       9500 |        261 |       0.87
| nfvha-comp-07.oot.lab.eng.bos| 1729676441150 |       9501 |        262 |       0.70
| nfvha-comp-07.oot.lab.eng.bos| 1729677191168 |       9502 |        263 |       0.63
| nfvha-comp-07.oot.lab.eng.bos| 1729677911417 |       9503 |        264 |       0.74
| nfvha-comp-07.oot.lab.eng.bos| 1729678191352 |       9504 |        265 |       0.60
| nfvha-comp-07.oot.lab.eng.bos| 1729678371486 |       9505 |        266 |       0.64
| nfvha-comp-07.oot.lab.eng.bos| 1729678691678 |       9506 |        267 |       0.72
| nfvha-comp-07.oot.lab.eng.bos| 1729679181805 |       9507 |        268 |       0.75
| nfvha-comp-07.oot.lab.eng.bos| 1729679301787 |       9508 |        269 |       0.63
| nfvha-comp-07.oot.lab.eng.bos| 1729679912143 |       9509 |        270 |       0.85
