|       Time |     Offset |        Seq |    latency 
| 1074147396517 |        481 |        481 |       0.82
| 1074147766535 |        482 |        482 |       0.71
| 1074147856734 |        483 |        483 |       0.78
| 1074148786930 |        484 |        484 |       0.82
| 1074149276959 |        485 |        485 |       0.75
| 1074149457032 |        486 |        486 |       0.72
| 1074150157071 |        487 |        487 |       0.66
| 1074151097397 |        488 |        488 |       0.93
| 1074151977536 |        489 |        489 |       0.93
| 1074152707414 |        490 |        490 |       0.73
| 1074153087480 |        491 |        491 |       0.67
| 1074153307590 |        492 |        492 |       0.67
| 1074153577787 |        493 |        493 |       0.76
| 1074153907843 |        494 |        494 |       0.71
| 1074154687803 |        495 |        495 |       0.57
| 1074155528035 |        496 |        496 |       0.73
| 1074156498319 |        497 |        497 |       0.89
| 1074157258192 |        498 |        498 |       0.69
| 1074157498412 |        499 |        499 |       0.80
| 1074158388420 |        500 |        500 |       0.74
| 1074159378572 |        501 |        501 |       0.81
| 1074159508682 |        502 |        502 |       0.80
| 1074159648936 |        503 |        503 |       0.87
| 1074159708981 |        504 |        504 |       0.79
| 1074160038968 |        505 |        505 |       0.66
| 1074160459050 |        506 |        506 |       0.63
| 1074160489381 |        507 |        507 |       0.84
| 1074160719545 |        508 |        508 |       0.89
| 1074161629369 |        509 |        509 |       0.62
| 1074161819666 |        510 |        510 |       0.80
| 1074162359631 |        511 |        511 |       0.67
| 1074162489854 |        512 |        512 |       0.76
| 1074163399945 |        513 |        513 |       0.76
| 1074164020174 |        514 |        514 |       0.85
| 1074164430291 |        515 |        515 |       0.85
| 1074164820265 |        516 |        516 |       0.74
| 1074165620418 |        517 |        517 |       0.78
| 1074165720553 |        518 |        518 |       0.79
| 1074166050566 |        519 |        519 |       0.69
| 1074166070781 |        520 |        520 |       0.73
| 1074166890982 |        521 |        521 |       0.83
| 1074166941070 |        522 |        522 |       0.79
| 1074167181091 |        523 |        523 |       0.70
| 1074167621129 |        524 |        524 |       0.68
| 1074167991173 |        525 |        525 |       0.61
| 1074168361300 |        526 |        526 |       0.65
| 1074168641453 |        527 |        527 |       0.71
| 1074169331589 |        528 |        528 |       0.75
| 1074169451652 |        529 |        529 |       0.70
| 1074170311861 |        530 |        530 |       0.83
| 1074170882055 |        531 |        531 |       0.92
| 1074170992122 |        532 |        532 |       0.86
| 1074171982128 |        533 |        533 |       0.70
| 1074172692342 |        534 |        534 |       0.84
| 1074172852523 |        535 |        535 |       0.89
| 1074173522518 |        536 |        536 |       0.78
| 1074174002749 |        537 |        537 |       0.91
| 1074174192578 |        538 |        538 |       0.63
| 1074175082839 |        539 |        539 |       0.76
| 1074175822913 |        540 |        540 |       0.76
| 1074176553083 |        541 |        541 |       0.85
| 1074177333175 |        542 |        542 |       0.86
| 1074178193349 |        543 |        543 |       0.95
| 1074178833166 |        544 |        544 |       0.68
| 1074179223408 |        545 |        545 |       0.80
| 1074179483509 |        546 |        546 |       0.80
| 1074179863621 |        547 |        547 |       0.78
| 1074180403594 |        548 |        548 |       0.64
| 1074180763768 |        549 |        549 |       0.72
| 1074181463898 |        550 |        550 |       0.74
| 1074182024044 |        551 |        551 |       0.82
| 1074182554220 |        552 |        552 |       0.84
| 1074182654288 |        553 |        553 |       0.79
| 1074182794339 |        554 |        554 |       0.70
| 1074183764487 |        555 |        555 |       0.77
| 1074184224495 |        556 |        556 |       0.66
| 1074184734582 |        557 |        557 |       0.66
| 1074185324726 |        558 |        558 |       0.65
| 1074185475067 |        559 |        559 |       0.88
| 1074186454943 |        560 |        560 |       0.67
| 1074187255040 |        561 |        561 |       0.70
| 1074187325286 |        562 |        562 |       0.81
| 1074187405304 |        563 |        563 |       0.70
| 1074188185454 |        564 |        564 |       0.70
| 1074188955731 |        565 |        565 |       0.90
| 1074189545651 |        566 |        566 |       0.71
| 1074190335718 |        567 |        567 |       0.66
| 1074190935925 |        568 |        568 |       0.75
| 1074191066162 |        569 |        569 |       0.87
| 1074191096236 |        570 |        570 |       0.81
| 1074191426244 |        571 |        571 |       0.72
| 1074191636374 |        572 |        572 |       0.74
| 1074192436364 |        573 |        573 |       0.61
| 1074192966557 |        574 |        574 |       0.67
| 1074193156829 |        575 |        575 |       0.83
| 1074193346903 |        576 |        576 |       0.77
| 1074194137103 |        577 |        577 |       0.88
| 1074194697116 |        578 |        578 |       0.82
| 1074194777139 |        579 |        579 |       0.72
| 1074195277312 |        580 |        580 |       0.79
| 1074195887347 |        581 |        581 |       0.74
| 1074196517338 |        582 |        582 |       0.62
| 1074196897517 |        583 |        583 |       0.69
| 1074197597797 |        584 |        584 |       0.87
| 1074198367759 |        585 |        585 |       0.78
| 1074198707841 |        586 |        586 |       0.74
| 1074199217962 |        587 |        587 |       0.78
| 1074200218046 |        588 |        588 |       0.73
| 1074200808198 |        589 |        589 |       0.81
| 1074200878290 |        590 |        590 |       0.76
| 1074200948260 |        591 |        591 |       0.61
| 1074200968455 |        592 |        592 |       0.71
| 1074201158554 |        593 |        593 |       0.70
| 1074201348689 |        594 |        594 |       0.72
| 1074202298678 |        595 |        595 |       0.65
| 1074203278808 |        596 |        596 |       0.67
| 1074204058899 |        597 |        597 |       0.62
| 1074204129251 |        598 |        598 |       0.84
| 1074204479237 |        599 |        599 |       0.70
| 1074204939465 |        600 |        600 |       0.83
| 1074205569548 |        601 |        601 |       0.81
| 1074205719648 |        602 |        602 |       0.80
| 1074206699782 |        603 |        603 |       0.83
| 1074207509790 |        604 |        604 |       0.74
| 1074208199951 |        605 |        605 |       0.75
| 1074208320039 |        606 |        606 |       0.72
| 1074208690023 |        607 |        607 |       0.63
| 1074209450183 |        608 |        608 |       0.74
| 1074210420293 |        609 |        609 |       0.81
| 1074210740450 |        610 |        610 |       0.82
| 1074211480360 |        611 |        611 |       0.66
| 1074211830445 |        612 |        612 |       0.62
| 1074211840558 |        613 |        613 |       0.59
| 1074212700757 |        614 |        614 |       0.72
| 1074212730895 |        615 |        615 |       0.73
| 1074213600999 |        616 |        616 |       0.67
| 1074214071134 |        617 |        617 |       0.71
| 1074214371353 |        618 |        618 |       0.83
| 1074215231518 |        619 |        619 |       0.89
| 1074215641660 |        620 |        620 |       0.92
| 1074216361630 |        621 |        621 |       0.75
| 1074216641836 |        622 |        622 |       0.82
| 1074217421835 |        623 |        623 |       0.72
| 1074218331998 |        624 |        624 |       0.80
| 1074218802089 |        625 |        625 |       0.76
| 1074219532249 |        626 |        626 |       0.85
| 1074219762110 |        627 |        627 |       0.59
| 1074220352320 |        628 |        628 |       0.69
| 1074220502552 |        629 |        629 |       0.83
| 1074221082652 |        630 |        630 |       0.84
